,$\alpha{-}cells$,$\beta{-}cells$,$\delta{-}cells$,Acinar cells,Ductal cells,PP cells,Stellate cells
CPI-SS0A1864A37$\alpha{-}cells$,1,0,0,0,0,1,0
CPI-SS043E0F61D$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS00EC753E6$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-SS0C4E86714$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-SS0BF490275$\alpha{-}cells$,1,0,1,0,0,1,0
CPI-SS072E1E27A$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS01A07768A$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-CS04DD927C9$\alpha{-}cells$,1,0,0,0,0,0,1
CPI-CS0B79F5D68$\alpha{-}cells$,1,0,0,0,0,0,1
CPI-SS0AFC7BACF$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS00561BBD7$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS038E93B77$\alpha{-}cells$,1,1,1,0,1,1,0
CPI-SS01158CABF$\alpha{-}cells$,1,1,1,1,1,0,1
CPI-CS063AE1C91$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-CS0860DA460$\alpha{-}cells$,1,0,0,0,0,1,1
CPI-CS017A50010$\alpha{-}cells$,1,0,0,0,0,1,1
CPI-SS0649EA05F$\alpha{-}cells$,1,1,0,0,0,1,0
CPI-SS07833475A$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-CS02AEFFE28$\alpha{-}cells$,1,0,0,0,0,1,1
CPI-SS06BC4D123$\alpha{-}cells$,1,1,0,1,0,1,1
CPI-CS076E1A639$\alpha{-}cells$,1,0,0,0,0,1,1
CPI-CS05AB368CE$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-CS0715DE78D$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-SS0DA033F03$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-SS0E0BCE16F$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS042EB8C7A$\alpha{-}cells$,1,1,1,0,0,0,1
CPI-SS0273C9AED$\alpha{-}cells$,1,0,0,0,0,1,1
CPI-SS0A4EE6FE1$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-SS0EDAE16B6$\alpha{-}cells$,1,1,1,1,1,0,1
CPI-CS0BE59B43E$\alpha{-}cells$,1,0,0,1,1,0,1
CPI-CS0924060DB$\alpha{-}cells$,1,0,0,0,0,0,1
CPI-SS0E91E504D$\alpha{-}cells$,1,1,1,0,1,1,1
CPI-CS091BF99D0$\alpha{-}cells$,1,0,0,0,0,0,1
CPI-SS0F00D756A$\alpha{-}cells$,1,0,1,1,0,0,1
CPI-SS034D36D2F$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS0C23EF34B$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS05B1FA8A8$\alpha{-}cells$,1,0,1,0,1,0,1
CPI-CS0AB9C7139$\alpha{-}cells$,1,0,1,1,1,1,1
CPI-SS0AB647854$\alpha{-}cells$,0,1,1,0,0,0,1
CPI-CS067298D94$\alpha{-}cells$,0,1,0,0,0,0,0
CPI-CS0AA769F5B$\alpha{-}cells$,0,1,1,0,0,0,1
CPI-SS0E00478B4$\alpha{-}cells$,0,1,0,0,0,0,0
CPI-SS07DFEBFA8$\alpha{-}cells$,0,1,1,0,0,0,1
CPI-SS0907A7598$\alpha{-}cells$,0,1,0,0,0,0,0
CPI-SS0BEAB521F$\alpha{-}cells$,0,1,1,0,0,1,0
CPI-SS07D40A3F3$\alpha{-}cells$,0,1,0,0,0,0,0
CPI-SS0586F2596$\alpha{-}cells$,0,1,1,0,0,0,0
CPI-CS077F1340A$\alpha{-}cells$,0,1,0,0,0,1,0
CPI-SS091B461CB$\alpha{-}cells$,0,1,0,1,1,0,0
CPI-SS0947A8549$\alpha{-}cells$,0,1,0,0,0,1,0
CPI-SS0DE0A486F$\alpha{-}cells$,0,1,0,0,0,0,0
CPI-SS0F1A060D4$\alpha{-}cells$,0,1,1,1,1,0,1
CPI-SS03A2EFDD5$\alpha{-}cells$,0,1,1,0,0,0,0
CPI-SS033E6DE7E$\alpha{-}cells$,0,1,0,0,0,1,0
CPI-SS0C5E9FBFB$\alpha{-}cells$,0,1,1,1,0,0,1
CPI-SS08083B141$\alpha{-}cells$,0,1,1,0,1,0,1
CPI-SS0FA326344$\alpha{-}cells$,0,1,0,0,0,1,0
CPI-CS0FCC00896$\alpha{-}cells$,0,1,1,0,0,1,0
CPI-CS0CA393CC5$\alpha{-}cells$,0,1,1,0,0,1,0
CPI-SS082900482$\alpha{-}cells$,0,1,1,0,0,0,1
CPI-CS0288D901D$\alpha{-}cells$,0,1,1,0,0,1,1
CPI-CS0C99F8D96$\alpha{-}cells$,0,1,1,0,0,1,1
CPI-CS0E1BF543E$\alpha{-}cells$,0,1,1,0,0,1,0
CPI-SS055E061C9$\alpha{-}cells$,0,1,1,1,1,0,1
CPI-CS0EC80CA59$\alpha{-}cells$,0,1,1,0,0,1,0
CPI-CS046BCFC6F$\alpha{-}cells$,0,1,1,0,0,1,0
CPI-CS047EE9E03$\alpha{-}cells$,0,1,1,0,0,1,0
CPI-CS02C93975C$\alpha{-}cells$,0,1,1,0,0,1,0
CPI-CS01A4D7E2F$\alpha{-}cells$,0,1,1,0,0,1,0
CPI-CS0BEC40E19$\alpha{-}cells$,0,1,1,0,0,1,0
CPI-CS0D238C22B$\alpha{-}cells$,0,1,1,0,0,0,1
CPI-SS02FBD007E$\alpha{-}cells$,0,1,1,0,0,0,0
CPI-SS079728E8B$\alpha{-}cells$,0,1,1,0,0,0,1
CPI-CS0AB19226A$\alpha{-}cells$,0,1,1,0,1,0,1
CPI-SS0528A694B$\alpha{-}cells$,0,1,1,1,1,0,1
CPI-CS0E5D1ECCE$\alpha{-}cells$,0,1,1,1,1,0,1
CPI-SS070C51D94$\alpha{-}cells$,0,1,1,0,0,0,0
CPI-SS0D2539AEB$\alpha{-}cells$,0,1,1,1,1,0,1
CPI-SS00C069DCB$\alpha{-}cells$,0,0,1,0,0,0,1
CPI-SS0241A1F57$\alpha{-}cells$,0,0,1,1,1,0,1
CPI-SS074CF011C$\alpha{-}cells$,0,0,1,1,1,0,1
CPI-SS00D153A8A$\alpha{-}cells$,0,0,1,0,0,1,1
CPI-SS070B0E458$\alpha{-}cells$,0,0,1,0,0,0,0
CPI-SC0E9C058EB$\alpha{-}cells$,0,0,1,0,0,0,0
CPI-SS09808DEAE$\alpha{-}cells$,0,0,1,0,1,0,1
CPI-CS05426BFFA$\alpha{-}cells$,0,0,1,0,1,0,0
CPI-SS0C1F25516$\alpha{-}cells$,0,0,0,1,1,1,0
CPI-SS0AB0604B5$\alpha{-}cells$,0,0,0,1,1,0,0
CPI-SS01A8F745A$\alpha{-}cells$,0,0,0,1,0,0,0
CPI-CS0C9EE65C2$\alpha{-}cells$,0,0,0,1,1,0,0
CPI-SS064C772FE$\alpha{-}cells$,0,0,0,1,1,0,0
CPI-CS0DEBE7B69$\alpha{-}cells$,0,0,0,1,1,0,0
CPI-SS03165AD8C$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS00046DCF3$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS0EB3C2743$\alpha{-}cells$,0,0,0,1,1,0,0
CPI-SS0111AAD26$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS02D7A1DDE$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS01946BE5C$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS03CC15FF3$\alpha{-}cells$,0,0,0,1,1,1,1
CPI-CS058910188$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-CS0E4E75E3B$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-CS028ACED72$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-CS075442484$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-CS08A043594$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-CS07B61574B$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS02B567BC7$\alpha{-}cells$,0,0,0,0,1,0,1
CPI-CS0BCDC40FC$\alpha{-}cells$,0,0,0,0,1,0,1
CPI-SS0B337B316$\alpha{-}cells$,0,0,0,0,1,0,1
CPI-CS0E54FF657$\alpha{-}cells$,0,0,0,0,1,0,1
CPI-CS02957B1BF$\alpha{-}cells$,0,0,0,0,1,0,1
CPI-CS012D15A88$\alpha{-}cells$,0,0,0,0,1,0,1
CPI-CS0107C51C6$\alpha{-}cells$,0,0,0,0,1,0,1
